key,label,resource_id,native_va,native_string_found,category,value_hint,pq25_location,current_state,known_good_state,current_value6,target_value6,pending_write_target,raw_value_key,raw_address4,coding_type,tail_bytes,write_tuple_status,confidence,notes
car_setting_0,0,0x7f1403ea,0x00C60DF3,True,app_catalog,choice/value label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_1,1,0x7f1403eb,0x008E8F73,True,app_catalog,choice/value label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_10,10,0x7f1403ec,0x00B52FE6,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_100_pct,100%,0x7f1403ed,0x007F6E3A,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_10_2v,10.2 volts,0x7f1403ee,0x00B39153,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_10_alarms,10 Alarms,0x7f1403ef,0x007697B6,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_10_horns,10 horns,0x7f1403f0,0x00A1B915,True,sound_chime,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_10_min_only,For 10 min only,0x7f1403f1,0x00793393,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_11_2v,11.2 volts,0x7f1403f2,0x006ABF2F,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_11_4v,11.4 volts,0x7f1403f3,0x0081F344,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_11_7v,11.7 volts,0x7f1403f4,0x00AA4CD1,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_11_9v,11.9 volts,0x7f1403f5,0x00A46B5E,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_11_flashes,11 flashes,0x7f1403f6,0x008FCF16,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
car_setting_11v,11 volts,0x7f1403f7,0x00AC5E8A,True,app_catalog,setting/category label,,,,,,False,unknown,unknown,unknown,unknown,not mapped to this BCM,unmapped,App-visible Carista resource string. Runtime vehicle support is selected by native availability checks.
