byte_index,bit_index,current_byte,current_state,supplied_reference_byte,supplied_reference_state,differs_from_supplied_reference,candidate_label,candidate_confidence,candidate_source,carista_keys,carista_labels,mapping_status,read_method,write_method,tested_status,notes
0,0,3A,clear,3A,clear,False,Front fog lights installed; weak cross-platform reference only,low,docs cross-platform note,,,long_coding_candidate_without_recovered_carista_setting,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,"Validated guarded path: 2EF199 date, inline 22F1A5, 2EF198 workshop code, then 2E0600 + full 30-byte coding. The former live runner was removed after use.",not live-isolated,"Candidate label exists, but no exact Carista Setting object/key is recovered."
0,1,3A,set,3A,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
0,2,3A,clear,3A,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
0,3,3A,set,3A,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
0,4,3A,set,3A,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
0,5,3A,set,3A,set,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
0,6,3A,clear,3A,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
0,7,3A,clear,3A,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
1,0,B8,clear,B8,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
1,1,B8,clear,B8,clear,False,,,,,,unknown_long_coding_bit,TP2.0 unit 20 direct read 220600; positive response is 620600 + 30-byte coding,not recommended; no label or Carista evidence,not a candidate,No current evidence maps this bit to a Carista setting.
