state,repeat,command,command_label,status,payload,payload_bytes,changed_from_baseline,error,log_file,send_header,listen_header,channel_parameter_status,channel_parameters,raw_payloads
baseline_off,1,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,no_response,,,payload/status changed,,logs\bcm_light_capture_20260501_180757_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:08:24.490"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,no_response,,,,,logs\bcm_light_capture_20260501_180757_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:08:24.490"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1A9A,ReadVagCanLongCodingCommand_getRequest / long coding,no_response,,,,,logs\bcm_light_capture_20260501_180757_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:08:24.490"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1A91,Carista VAGCAN20 simulator identity/coding-related block,no_response,,,,,logs\bcm_light_capture_20260501_180757_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:08:24.490"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1802FF00,read-only DTC/status read retained for BCM lighting debug snapshots; previous live response was 58020C9820038B20,no_response,,,,,logs\bcm_light_capture_20260501_180757_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:08:24.490"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1902FF,read-only DTC/status read retained for BCM lighting debug snapshots; previous live response was 7F1911,no_response,,,,,logs\bcm_light_capture_20260501_180757_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:08:24.490"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
parking_fog_off,1,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,positive,6206003AB02BBF08A10000003008006D2B0CD000C0412F60860000200000000000,33,,,logs\bcm_light_capture_20260501_180757_parking_fog_off_r01_tp20_snapshot.txt,338,300,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}","[{""timestamp"":""2026-05-01T18:09:22.995"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:09:24.302"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:09:24.302"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-01T18:09:25.501"",""source"":""100003220600"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-01T18:09:25.501"",""source"":""100003220600"",""header"":""300"",""payload"":""2000216206003AB0"",""tp20_label"":""TP2.0 application continuation frame seq=0""},{""timestamp"":""2026-05-01T18:09:25.501"",""source"":""100003220600"",""header"":""300"",""payload"":""212BBF08A1000000"",""tp20_label"":""TP2.0 application continuation frame seq=1""},{""timestamp"":""2026-05-01T18:09:25.501"",""source"":""100003220600"",""header"":""300"",""payload"":""223008006D2B0CD0"",""tp20_label"":""TP2.0 application continuation frame seq=2""},{""timestamp"":""2026-05-01T18:09:25.501"",""source"":""100003220600"",""header"":""300"",""payload"":""2300C0412F608600"",""tp20_label"":""TP2.0 application continuation frame seq=3""},{""timestamp"":""2026-05-01T18:09:25.501"",""source"":""100003220600"",""header"":""300"",""payload"":""1400200000000000"",""tp20_label"":""TP2.0 application first frame seq=4 len=32""}]"
parking_fog_off,1,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,disconnect,,,,,logs\bcm_light_capture_20260501_180757_parking_fog_off_r01_tp20_snapshot.txt,338,300,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}","[{""timestamp"":""2026-05-01T18:09:22.995"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:09:24.302"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:09:24.302"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-01T18:09:26.304"",""source"":""110003220606"",""header"":""300"",""payload"":""A8"",""tp20_label"":""TP2.0 disconnect/close frame""}]"
parking_fog_on,1,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,positive,6206003AB02BBF08A10000003008006D2B0CD000C0412F60860000200000000000,33,,,logs\bcm_light_capture_20260501_180757_parking_fog_on_r01_tp20_snapshot.txt,338,300,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}","[{""timestamp"":""2026-05-01T18:10:05.195"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:06.500"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:06.500"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-01T18:10:07.660"",""source"":""100003220600"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-01T18:10:07.660"",""source"":""100003220600"",""header"":""300"",""payload"":""2000216206003AB0"",""tp20_label"":""TP2.0 application continuation frame seq=0""},{""timestamp"":""2026-05-01T18:10:07.660"",""source"":""100003220600"",""header"":""300"",""payload"":""212BBF08A1000000"",""tp20_label"":""TP2.0 application continuation frame seq=1""},{""timestamp"":""2026-05-01T18:10:07.660"",""source"":""100003220600"",""header"":""300"",""payload"":""223008006D2B0CD0"",""tp20_label"":""TP2.0 application continuation frame seq=2""},{""timestamp"":""2026-05-01T18:10:07.660"",""source"":""100003220600"",""header"":""300"",""payload"":""2300C0412F608600"",""tp20_label"":""TP2.0 application continuation frame seq=3""},{""timestamp"":""2026-05-01T18:10:07.660"",""source"":""100003220600"",""header"":""300"",""payload"":""1400200000000000"",""tp20_label"":""TP2.0 application first frame seq=4 len=32""}]"
parking_fog_on,1,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,disconnect,,,,,logs\bcm_light_capture_20260501_180757_parking_fog_on_r01_tp20_snapshot.txt,338,300,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}","[{""timestamp"":""2026-05-01T18:10:05.195"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:06.500"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:06.500"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-01T18:10:08.464"",""source"":""110003220606"",""header"":""300"",""payload"":""A8"",""tp20_label"":""TP2.0 disconnect/close frame""}]"
lowbeam_fog_off,1,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,positive,6206003AB02BBF08A10000003008006D2B0CD000C0412F60860000200000000000,33,,,logs\bcm_light_capture_20260501_180757_lowbeam_fog_off_r01_tp20_snapshot.txt,338,300,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}","[{""timestamp"":""2026-05-01T18:10:50.179"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:51.484"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:51.484"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-01T18:10:52.642"",""source"":""100003220600"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-01T18:10:52.642"",""source"":""100003220600"",""header"":""300"",""payload"":""2000216206003AB0"",""tp20_label"":""TP2.0 application continuation frame seq=0""},{""timestamp"":""2026-05-01T18:10:52.642"",""source"":""100003220600"",""header"":""300"",""payload"":""212BBF08A1000000"",""tp20_label"":""TP2.0 application continuation frame seq=1""},{""timestamp"":""2026-05-01T18:10:52.642"",""source"":""100003220600"",""header"":""300"",""payload"":""223008006D2B0CD0"",""tp20_label"":""TP2.0 application continuation frame seq=2""},{""timestamp"":""2026-05-01T18:10:52.642"",""source"":""100003220600"",""header"":""300"",""payload"":""2300C0412F608600"",""tp20_label"":""TP2.0 application continuation frame seq=3""},{""timestamp"":""2026-05-01T18:10:52.642"",""source"":""100003220600"",""header"":""300"",""payload"":""1400200000000000"",""tp20_label"":""TP2.0 application first frame seq=4 len=32""}]"
lowbeam_fog_off,1,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,disconnect,,,,,logs\bcm_light_capture_20260501_180757_lowbeam_fog_off_r01_tp20_snapshot.txt,338,300,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}","[{""timestamp"":""2026-05-01T18:10:50.179"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:51.484"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-01T18:10:51.484"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-01T18:10:53.447"",""source"":""110003220606"",""header"":""300"",""payload"":""A8"",""tp20_label"":""TP2.0 disconnect/close frame""}]"
lowbeam_fog_on,1,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,no_response,,,payload/status changed,,logs\bcm_light_capture_20260501_180757_lowbeam_fog_on_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:11:24.341"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
lowbeam_fog_on,1,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,no_response,,,,,logs\bcm_light_capture_20260501_180757_lowbeam_fog_on_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:11:24.341"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
lowbeam_fog_on,1,1A9A,ReadVagCanLongCodingCommand_getRequest / long coding,no_response,,,,,logs\bcm_light_capture_20260501_180757_lowbeam_fog_on_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:11:24.341"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
lowbeam_fog_on,1,1A91,Carista VAGCAN20 simulator identity/coding-related block,no_response,,,,,logs\bcm_light_capture_20260501_180757_lowbeam_fog_on_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:11:24.341"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
lowbeam_fog_on,1,1802FF00,read-only DTC/status read retained for BCM lighting debug snapshots; previous live response was 58020C9820038B20,no_response,,,,,logs\bcm_light_capture_20260501_180757_lowbeam_fog_on_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-01T18:11:24.341"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
