state,repeat,command,command_label,status,payload,payload_bytes,changed_from_baseline,error,log_file,send_header,listen_header,channel_parameter_status,channel_parameters,raw_payloads
baseline_off,1,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,220601,Carista-shaped UDS companion DID from the current BCM identity/status sweep,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,22055C,,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,22055D,,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1A9A,ReadVagCanLongCodingCommand_getRequest / long coding,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1A91,Carista VAGCAN20 simulator identity/coding-related block,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1802FF00,read-only DTC/status read retained for BCM lighting debug snapshots; previous live response was 58020C9820038B20,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
baseline_off,1,1902FF,read-only DTC/status read retained for BCM lighting debug snapshots; previous live response was 7F1911,no_response,,,,,logs\chlh_fog_capture_20260503_baseline_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:41:53.744"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
parking_fog_off,1,220600,direct long-coding read DID; latest live baseline returns 620600 + 30-byte coding,no_response,,,,,logs\chlh_fog_capture_20260503_parking_fog_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:42:14.146"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
parking_fog_off,1,220601,Carista-shaped UDS companion DID from the current BCM identity/status sweep,no_response,,,,,logs\chlh_fog_capture_20260503_parking_fog_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:42:14.146"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
parking_fog_off,1,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,no_response,,,,,logs\chlh_fog_capture_20260503_parking_fog_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:42:14.146"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
parking_fog_off,1,22055C,,no_response,,,,,logs\chlh_fog_capture_20260503_parking_fog_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:42:14.146"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
parking_fog_off,1,22055D,,no_response,,,,,logs\chlh_fog_capture_20260503_parking_fog_off_r01_tp20_snapshot.txt,338,300,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}","[{""timestamp"":""2026-05-03T20:42:14.146"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]"
