attempt_id,mode,started,log_file,unit,ecu_scan_status,scan_probe,scan_native_builder,scan_purpose,send_header,listen_header,channel_parameter_profile,channel_parameter_status,channel_parameters,session_command,session_command_label,session_counter,session_status,session_result,pre_read_sequence,post_session_extra_frames,read_profile,ack_variant,delay_ms,read_counter,read_command,read_command_label,read_status,read_result,stopped_early,raw_payloads,error
direct_ctr0_1A9B,direct_read,2026-04-29T10:24:17.934,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_1A9B.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,1A9B,GetVagCanEcuInfoCommand_getRequest / ECU component identity,no_response,,,"[{""timestamp"":""2026-04-29T10:24:23.468"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_1A9F,direct_read,2026-04-29T10:24:26.890,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_1A9F.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,1A9F,GetVagCanEcuListCommand / ECU list/info,no_response,,,"[{""timestamp"":""2026-04-29T10:24:32.417"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_1A91,direct_read,2026-04-29T10:24:35.780,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_1A91.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,1A91,Carista VAGCAN20 simulator identity/coding-related block,no_response,,,"[{""timestamp"":""2026-04-29T10:24:41.430"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_1A9A,direct_read,2026-04-29T10:24:44.906,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_1A9A.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_kwp,,,0,1A9A,ReadVagCanLongCodingCommand_getRequest / long coding,negative,7F1A11,,"[{""timestamp"":""2026-04-29T10:24:50.495"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:24:51.820"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:24:51.820"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-04-29T10:24:52.973"",""source"":""1000021A9A"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-04-29T10:24:52.973"",""source"":""1000021A9A"",""header"":""300"",""payload"":""1000037F1A11"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
direct_ctr0_1A86,direct_read,2026-04-29T10:24:53.878,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_1A86.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_kwp,,,0,1A86,Carista VAGCAN20 simulator software/version dataset block,negative,7F1A11,,"[{""timestamp"":""2026-04-29T10:24:59.460"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:00.762"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:00.762"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-04-29T10:25:01.916"",""source"":""1000021A86"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-04-29T10:25:01.916"",""source"":""1000021A86"",""header"":""300"",""payload"":""1000037F1A11"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
direct_ctr0_220606,direct_read,2026-04-29T10:25:02.821,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_220606.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,220606,Carista-shaped UDS companion DID; previous live response was 620606001800018000,no_response,,,"[{""timestamp"":""2026-04-29T10:25:08.455"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_22F17E,direct_read,2026-04-29T10:25:11.816,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_22F17E.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F17E,,positive,62F17E4246303436303031,,"[{""timestamp"":""2026-04-29T10:25:17.373"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:18.697"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:18.697"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-04-29T10:25:19.851"",""source"":""10000322F17E"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-04-29T10:25:19.851"",""source"":""10000322F17E"",""header"":""300"",""payload"":""20000B62F17E4246"",""tp20_label"":""TP2.0 application continuation frame seq=0""},{""timestamp"":""2026-04-29T10:25:19.851"",""source"":""10000322F17E"",""header"":""300"",""payload"":""11303436303031"",""tp20_label"":""TP2.0 application first frame seq=1 len=12340""}]",
direct_ctr0_22F18C,direct_read,2026-04-29T10:25:20.755,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_22F18C.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F18C,,positive,62F18C3034333420303533313230393937,,"[{""timestamp"":""2026-04-29T10:25:26.348"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:27.652"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:27.652"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-04-29T10:25:28.819"",""source"":""10000322F18C"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-04-29T10:25:28.819"",""source"":""10000322F18C"",""header"":""300"",""payload"":""20001162F18C3034"",""tp20_label"":""TP2.0 application continuation frame seq=0""},{""timestamp"":""2026-04-29T10:25:28.819"",""source"":""10000322F18C"",""header"":""300"",""payload"":""2133342030353331"",""tp20_label"":""TP2.0 application continuation frame seq=1""},{""timestamp"":""2026-04-29T10:25:28.819"",""source"":""10000322F18C"",""header"":""300"",""payload"":""123230393937"",""tp20_label"":""TP2.0 application first frame seq=2 len=12848""}]",
direct_ctr0_22F191,direct_read,2026-04-29T10:25:29.726,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_22F191.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F191,,no_response,,,"[{""timestamp"":""2026-04-29T10:25:35.235"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_22F1DF,direct_read,2026-04-29T10:25:38.636,logs\drive_20260429_1008_live_r010_102256_periodic_direct_read_direct_ctr0_22F1DF.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_kwp,,,0,22F1DF,,positive,62F1DF40,,"[{""timestamp"":""2026-04-29T10:25:44.132"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:45.435"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-04-29T10:25:45.435"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-04-29T10:25:46.644"",""source"":""10000322F1DF"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-04-29T10:25:46.644"",""source"":""10000322F1DF"",""header"":""300"",""payload"":""10000462F1DF40"",""tp20_label"":""TP2.0 application first frame seq=0 len=4""}]",
