request_header,response_header,command,status,payload,raw
7E0,7E8,220600,no_response,,NO DATA
7E0,7E8,22F190,no_response,,NO DATA
714,77E,220600,no_response,,NO DATA
714,77E,22F190,no_response,,NO DATA
711,77B,220600,no_response,,NO DATA
711,77B,22F190,no_response,,NO DATA
715,77F,220600,no_response,,NO DATA
715,77F,22F190,no_response,,NO DATA
70E,778,220600,no_response,,NO DATA
70E,778,22F190,no_response,,NO DATA
709,773,220600,no_response,,NO DATA
709,773,22F190,no_response,,NO DATA
70A,774,220600,no_response,,NO DATA
70A,774,22F190,no_response,,NO DATA
70B,775,220600,no_response,,NO DATA
70B,775,22F190,no_response,,NO DATA
710,77A,220600,no_response,,NO DATA
710,77A,22F190,no_response,,NO DATA
712,77C,220600,no_response,,NO DATA
712,77C,22F190,no_response,,NO DATA
713,77D,220600,no_response,,NO DATA
713,77D,22F190,no_response,,NO DATA
716,780,220600,no_response,,NO DATA
716,780,22F190,no_response,,NO DATA
