request_header,response_header,command,status,payload,raw
7E0,7E8,220600,positive,620600001100D6202400080000,"7E8100D6206000011007E821D6202400080000"
7E0,7E8,22F190,positive,62F1905756575A5A5A36525A4359323330343134,"7E8101462F1905756577E8215A5A5A36525A437E82259323330343134"
714,77E,220600,positive,620600140801,77E06620600140801
714,77E,22F190,positive,62F190575657,77E101462F190575657
711,77B,220600,negative,7F2221,77B037F2221
711,77B,22F190,positive,62F190575657,77B101462F190575657
715,77F,220600,positive,620600003232,77F06620600003232
715,77F,22F190,positive,62F190575657,77F101462F190575657
70E,778,220600,no_response,,NO DATA
70E,778,22F190,no_response,,NO DATA
711,77B,22F187,positive,62F187354B30,77B100E62F187354B30
711,77B,22F189,no_response,,NO DATA
711,77B,22F197,no_response,,NO DATA
714,77E,22F187,positive,62F187365230,77E100E62F187365230
714,77E,22F189,no_response,,NO DATA
714,77E,22F197,no_response,,NO DATA
715,77F,22F187,positive,62F187365230,77F100E62F187365230
715,77F,22F189,no_response,,NO DATA
715,77F,22F197,no_response,,NO DATA
7E0,7E8,22F187,positive,62F1873033463930363037304744,"7E8100E62F1873033467E821393036303730477E82244AAAAAAAAAAAA"
7E0,7E8,22F189,positive,62F18935343636,7E80762F18935343636
7E0,7E8,22F197,positive,62F19753494D4F5331302E3232410000,"7E8101062F19753494D7E8214F5331302E32327E822410000AAAAAAAA"
