request_header,response_header,command,status,payload,raw
711,77B,1901FF,negative,7F1912,77B037F1912
711,77B,1902FF,other,590299D20000,77B100B590299D20000
711,77B,1906D20000FF,no_response,,NO DATA
711,77B,1904D20000FF,no_response,,NO DATA
711,77B,1906C40100FF,negative,7F1931,77B037F1931
711,77B,1904C40100FF,negative,7F1912,77B037F1912
714,77E,1901FF,negative,7F1912,77E037F1912
714,77E,1902FF,other,590299C4010008,77E07590299C4010008
714,77E,1906D20000FF,negative,7F1931,77E037F1931
714,77E,1904D20000FF,negative,7F1912,77E037F1912
714,77E,1906C40100FF,other,5906C4010008,77E10145906C4010008
714,77E,1904C40100FF,no_response,,NO DATA
