request_header,response_header,command,status,payload,raw
714,77E,22F187,positive,62F187365230,77E100E62F187365230
714,77E,220600,no_response,,NO DATA
714,77E,220601,no_response,,NO DATA
714,77E,220602,negative,7F2231,77E037F2231
714,77E,220603,negative,7F2231,77E037F2231
714,77E,220604,negative,7F2231,77E037F2231
714,77E,220605,negative,7F2231,77E037F2231
714,77E,220606,negative,7F2231,77E037F2231
714,77E,220607,negative,7F2231,77E037F2231
714,77E,220608,negative,7F2231,77E037F2231
714,77E,220609,negative,7F2231,77E037F2231
714,77E,22060A,negative,7F2231,77E037F2231
714,77E,22060B,negative,7F2231,77E037F2231
714,77E,22060C,negative,7F2231,77E037F2231
714,77E,22060D,negative,7F2231,77E037F2231
714,77E,22060E,negative,7F2231,77E037F2231
714,77E,22060F,negative,7F2231,77E037F2231
714,77E,22F17E,negative,7F2231,77E037F2231
714,77E,22F180,negative,7F2231,77E037F2231
714,77E,22F181,positive,62F181090314,77E100B62F181090314
714,77E,22F182,no_response,,NO DATA
714,77E,22F183,no_response,,NO DATA
714,77E,22F184,negative,7F2231,77E037F2231
714,77E,22F185,negative,7F2231,77E037F2231
714,77E,22F186,positive,62F18601,77E0462F18601
714,77E,22F188,negative,7F2231,77E037F2231
714,77E,22F189,positive,62F18930353035,77E0762F18930353035
714,77E,22F18A,negative,7F2231,77E037F2231
714,77E,22F18B,positive,62F18B120229,77E0662F18B120229
714,77E,22F18C,positive,62F18C303030,77E101162F18C303030
714,77E,22F18D,no_response,,NO DATA
714,77E,22F18E,no_response,,NO DATA
714,77E,22F18F,negative,7F2231,77E037F2231
714,77E,22F190,positive,62F190575657,77E101462F190575657
714,77E,22F191,no_response,,NO DATA
714,77E,22F192,no_response,,NO DATA
714,77E,22F193,negative,7F2231,77E037F2231
714,77E,22F194,positive,62F194101864,77E101662F194101864
714,77E,22F195,no_response,,NO DATA
714,77E,22F196,no_response,,NO DATA
714,77E,22F197,positive,62F1974B4F4D,77E101062F1974B4F4D
714,77E,22F198,no_response,,NO DATA
714,77E,22F199,no_response,,NO DATA
714,77E,22F19A,positive,62F19A163826,77E100962F19A163826
714,77E,22F1A0,no_response,,NO DATA
714,77E,22F1A1,no_response,,NO DATA
714,77E,22F1A2,positive,62F1A2413034,77E100962F1A2413034
714,77E,22F1A3,no_response,,NO DATA
714,77E,22F1A4,no_response,,NO DATA
714,77E,22F1A5,positive,62F1A50007FD,77E100962F1A50007FD
714,77E,22F1A6,no_response,,NO DATA
714,77E,22F1A7,no_response,,NO DATA
714,77E,22F1A8,negative,7F2231,77E037F2231
714,77E,22F1A9,negative,7F2231,77E037F2231
714,77E,22F1AA,positive,62F1AA4A3238,77E100862F1AA4A3238
