attempt_id,mode,started,log_file,unit,ecu_scan_status,scan_probe,scan_native_builder,scan_purpose,send_header,listen_header,channel_parameter_profile,channel_parameter_status,channel_parameters,session_command,session_command_label,session_counter,session_status,session_result,pre_read_sequence,post_session_extra_frames,read_profile,ack_variant,delay_ms,read_counter,read_command,read_command_label,read_status,read_result,stopped_early,raw_payloads,error
direct_ctr0_1A9B,direct_read,2026-05-04T14:39:04.361,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_1A9B.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,1A9B,ReadValuesOperation <ecu_info>: GetVagCanEcuInfoCommand::getRequest; path=VAGCAN20 ECU metadata/cache read; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:39:12.153"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_1A9F,direct_read,2026-05-04T14:39:14.223,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_1A9F.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,1A9F,ReadValuesOperation <ecu_list>: GetVagCanEcuListCommand::getRequest; path=VAGCAN20 ECU list/info read; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:39:19.760"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_1A9A,direct_read,2026-05-04T14:39:21.833,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_1A9A.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,1A9A,ReadValuesOperation <long_coding_cache>: ReadVagCanLongCodingCommand::getRequest; path=VAGCAN20 long-coding read/cache path; status=native_builder_recovered,no_response,,,"[{""timestamp"":""2026-05-04T14:39:27.461"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220600,direct_read,2026-05-04T14:39:29.627,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_220600.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220600,ReadValuesOperation <uds_coding_0600>: ReadDataByIdentifierCommand(0600) / readVagUdsCodingValue; path=UDS coding current-value read on TP2.0 unit 09; status=live_positive_primary_coding_read,no_response,,,"[{""timestamp"":""2026-05-04T14:39:35.340"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_22110E,direct_read,2026-05-04T14:39:37.411,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_22110E.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,22110E,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_leaving_home_output: Coming/leaving-home output selector adaptation/coding candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:39:42.954"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_22056D,direct_read,2026-05-04T14:39:45.028,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_22056D.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,22056D,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:39:50.632"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220550,direct_read,2026-05-04T14:39:52.886,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_220550.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220550,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:39:59.359"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220551,direct_read,2026-05-04T14:40:01.449,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_220551.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220551,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:40:07.060"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220D01,direct_read,2026-05-04T14:40:09.132,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_220D01.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220D01,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:40:14.675"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220A58,direct_read,2026-05-04T14:40:16.749,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_220A58.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220A58,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam nearby UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:40:24.632"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220601,direct_read,2026-05-04T14:40:26.818,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_220601.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220601,ReadValuesOperation pq25_live_companion_0601: live Carista/PQ25 companion DID; native Setting branch unresolved; path=UDS ReadDataByIdentifier on the same TP2.0 data channel; status=live_positive_companion_observed,no_response,,,"[{""timestamp"":""2026-05-04T14:40:32.445"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220606,direct_read,2026-05-04T14:40:34.521,logs\pq25_direct_220600_skip_params_ctr0_20260504_direct_read_direct_ctr0_220606.txt,20,,,,,338,300,minimal,skipped,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220606,ReadValuesOperation pq25_live_companion_0606: live Carista/PQ25 companion DID; native Setting branch unresolved; path=UDS ReadDataByIdentifier on the same TP2.0 data channel; status=live_positive_companion_observed,no_response,,,"[{""timestamp"":""2026-05-04T14:40:40.149"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
