attempt_id,mode,started,log_file,unit,ecu_scan_status,scan_probe,scan_native_builder,scan_purpose,send_header,listen_header,channel_parameter_profile,channel_parameter_status,channel_parameters,session_command,session_command_label,session_counter,session_status,session_result,pre_read_sequence,post_session_extra_frames,read_profile,ack_variant,delay_ms,read_counter,read_command,read_command_label,read_status,read_result,stopped_early,raw_payloads,error
direct_ctr0_1A9B,direct_read,2026-05-04T14:15:41.162,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_1A9B.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_read_values,,,0,1A9B,ReadValuesOperation <ecu_info>: GetVagCanEcuInfoCommand::getRequest; path=VAGCAN20 ECU metadata/cache read; status=native_builder_recovered,negative,7F1A11,,"[{""timestamp"":""2026-05-04T14:15:46.721"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:15:48.024"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:15:48.024"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-04T14:15:49.178"",""source"":""1000021A9B"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-04T14:15:49.178"",""source"":""1000021A9B"",""header"":""300"",""payload"":""1000037F1A11"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
direct_ctr0_1A9F,direct_read,2026-05-04T14:15:50.085,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_1A9F.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_read_values,,,0,1A9F,ReadValuesOperation <ecu_list>: GetVagCanEcuListCommand::getRequest; path=VAGCAN20 ECU list/info read; status=native_builder_recovered,negative,7F1A11,,"[{""timestamp"":""2026-05-04T14:15:55.614"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:15:56.917"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:15:56.917"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-04T14:15:58.072"",""source"":""1000021A9F"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-04T14:15:58.072"",""source"":""1000021A9F"",""header"":""300"",""payload"":""1000037F1A11"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
direct_ctr0_1A9A,direct_read,2026-05-04T14:15:58.979,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_1A9A.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_read_values,,,0,1A9A,ReadValuesOperation <long_coding_cache>: ReadVagCanLongCodingCommand::getRequest; path=VAGCAN20 long-coding read/cache path; status=native_builder_recovered,negative,7F1A11,,"[{""timestamp"":""2026-05-04T14:16:04.512"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:05.815"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:05.815"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-04T14:16:06.970"",""source"":""1000021A9A"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-04T14:16:06.970"",""source"":""1000021A9A"",""header"":""300"",""payload"":""1000037F1A11"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
direct_ctr0_220600,direct_read,2026-05-04T14:16:07.878,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_220600.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_read_values,,,0,220600,ReadValuesOperation <uds_coding_0600>: ReadDataByIdentifierCommand(0600) / readVagUdsCodingValue; path=UDS coding current-value read on TP2.0 unit 09; status=live_positive_primary_coding_read,positive,6206003AB02BBF08A10000003008006D2B0CD000C0412F60860000200000000000,,"[{""timestamp"":""2026-05-04T14:16:13.494"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:14.798"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:14.798"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-04T14:16:15.952"",""source"":""100003220600"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-04T14:16:15.952"",""source"":""100003220600"",""header"":""300"",""payload"":""2000216206003AB0"",""tp20_label"":""TP2.0 application continuation frame seq=0""},{""timestamp"":""2026-05-04T14:16:15.952"",""source"":""100003220600"",""header"":""300"",""payload"":""212BBF08A1000000"",""tp20_label"":""TP2.0 application continuation frame seq=1""},{""timestamp"":""2026-05-04T14:16:15.952"",""source"":""100003220600"",""header"":""300"",""payload"":""223008006D2B0CD0"",""tp20_label"":""TP2.0 application continuation frame seq=2""},{""timestamp"":""2026-05-04T14:16:15.952"",""source"":""100003220600"",""header"":""300"",""payload"":""2300C0412F608600"",""tp20_label"":""TP2.0 application continuation frame seq=3""},{""timestamp"":""2026-05-04T14:16:15.952"",""source"":""100003220600"",""header"":""300"",""payload"":""1400200000000000"",""tp20_label"":""TP2.0 application first frame seq=4 len=32""}]",
direct_ctr0_22110E,direct_read,2026-05-04T14:16:16.859,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_22110E.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_read_values,,,0,22110E,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_leaving_home_output: Coming/leaving-home output selector adaptation/coding candidate; status=unverified_live,negative,7F2231,,"[{""timestamp"":""2026-05-04T14:16:22.397"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:23.701"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:23.701"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-04T14:16:24.855"",""source"":""10000322110E"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-04T14:16:24.855"",""source"":""10000322110E"",""header"":""300"",""payload"":""1000037F2231"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
direct_ctr0_22056D,direct_read,2026-05-04T14:16:25.762,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_22056D.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,22056D,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:16:31.299"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220550,direct_read,2026-05-04T14:16:34.669,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_220550.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_read_values,,,0,220550,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,negative,7F2231,,"[{""timestamp"":""2026-05-04T14:16:40.191"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:41.494"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:16:41.494"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-04T14:16:42.648"",""source"":""100003220550"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-04T14:16:42.648"",""source"":""100003220550"",""header"":""300"",""payload"":""1000037F2231"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
direct_ctr0_220551,direct_read,2026-05-04T14:16:43.557,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_220551.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220551,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_coming_home_via_fogs: Coming-home via fogs nearby raw channel candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:16:49.215"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220D01,direct_read,2026-05-04T14:16:52.581,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_220D01.txt,20,,,,,338,300,minimal,defaulted,"{""block"":15,""T1"":255,""T2"":255,""T3"":255,""T4"":255}",,,,,,,[],carista_read_values,,,0,220D01,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam UDS adaptation candidate; status=unverified_live,no_response,,,"[{""timestamp"":""2026-05-04T14:16:58.096"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""}]",
direct_ctr0_220A58,direct_read,2026-05-04T14:17:01.465,logs\pq25_live_direct_22056D_20260504_direct_read_direct_ctr0_220A58.txt,20,,,,,338,300,minimal,answered,"{""block"":15,""T1"":138,""T2"":255,""T3"":79,""T4"":255}",,,,,,,[],carista_read_values,,,0,220A58,VagCanSettings::getSettings Play 9.8.3 x86 car_setting_turn_off_fogs_with_high_beam: Turn-off-fogs-with-high-beam nearby UDS adaptation candidate; status=unverified_live,negative,7F2231,,"[{""timestamp"":""2026-05-04T14:17:07.016"",""source"":""20C00010000301"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:17:08.319"",""source"":""A00F8AFF32FF"",""header"":""220"",""payload"":""00D00003380301"",""tp20_label"":""TP2.0 application/control frame type=0 seq=0""},{""timestamp"":""2026-05-04T14:17:08.319"",""source"":""A00F8AFF32FF"",""header"":""300"",""payload"":""A10F8AFF4FFF"",""tp20_label"":""TP2.0 channel parameters block=15 T1=138 T2=255 T3=79 T4=255""},{""timestamp"":""2026-05-04T14:17:09.472"",""source"":""100003220A58"",""header"":""300"",""payload"":""B1"",""tp20_label"":""TP2.0 ACK/control frame""},{""timestamp"":""2026-05-04T14:17:09.472"",""source"":""100003220A58"",""header"":""300"",""payload"":""1000037F2231"",""tp20_label"":""TP2.0 application first frame seq=0 len=3""}]",
