Timestamp,Date,VIN,Title,UserFriendlyValue,Type,Address,OldData,NewData,Password,RequestHeader,ResponseHeader,OpenSessionCommand,PreReadCommands,PreWriteCommands,PostWriteCommands,CloseSessionCommand,ResetECUCommand,ATST,Values
639117829199772620,2026-04-14T17:01:59.977264,WVWZZZ6RZCY230414,Backup copy of unit 17 $228A,BACKUP,0,228A,0008,,20103,714,77E,,,,,,,96,{}
639117829167510122,2026-04-14T17:01:56.751016,WVWZZZ6RZCY230414,Backup copy of unit 17 $2238,BACKUP,0,2238,11,,20103,714,77E,,,,,,,96,{}
639117829169187257,2026-04-14T17:01:56.918728,WVWZZZ6RZCY230414,Backup copy of unit 17 $2239,BACKUP,0,2239,02,,20103,714,77E,,,,,,,96,{}
639117829195700561,2026-04-14T17:01:59.570056,WVWZZZ6RZCY230414,Backup copy of unit 17 $0919,BACKUP,0,0919,03,,20103,714,77E,,,,,,,96,{}
639117827594439450,2026-04-14T16:59:19.443944,WVWZZZ6RZCY230414,Backup copy of unit 01 $0927,BACKUP,0,0927,00,,27971,7E0,7E8,,,,,,,96,{}
639117827584743836,2026-04-14T16:59:18.474384,WVWZZZ6RZCY230414,Backup copy of unit 01 $090E,BACKUP,0,090E,0000,,27971,7E0,7E8,,,,,,,96,{}
639117827581602285,2026-04-14T16:59:18.160232,WVWZZZ6RZCY230414,Backup copy of unit 01 $0903,BACKUP,0,0903,09C4,,27971,7E0,7E8,,,,,,,96,{}
639117827593659157,2026-04-14T16:59:19.365912,WVWZZZ6RZCY230414,Backup copy of unit 01 $04FC,BACKUP,0,04FC,000000,,27971,7E0,7E8,,,,,,,96,{}
639117827578726595,2026-04-14T16:59:17.872656,WVWZZZ6RZCY230414,Backup copy of unit 01 $0902,BACKUP,0,0902,00,,27971,7E0,7E8,,,,,,,96,{}
639117829180607128,2026-04-14T17:01:58.060712,WVWZZZ6RZCY230414,Backup copy of unit 17 $2248,BACKUP,0,2248,01,,20103,714,77E,,,,,,,96,{}
639117829174296271,2026-04-14T17:01:57.429624,WVWZZZ6RZCY230414,Backup copy of unit 17 $2243,BACKUP,0,2243,000D,,20103,714,77E,,,,,,,96,{}
639117829158537943,2026-04-14T17:01:55.853792,WVWZZZ6RZCY230414,Backup copy of unit 17 $2203,BACKUP,0,2203,48C2,,20103,714,77E,,,,,,,96,{}
639117829163753695,2026-04-14T17:01:56.375368,WVWZZZ6RZCY230414,Backup copy of unit 17 $2233,BACKUP,0,2233,01,,20103,714,77E,,,,,,,96,{}
639117829183818590,2026-04-14T17:01:58.381856,WVWZZZ6RZCY230414,Backup copy of unit 17 $224B,BACKUP,0,224B,001F,,20103,714,77E,,,,,,,96,{}
639117827583730957,2026-04-14T16:59:18.373096,WVWZZZ6RZCY230414,Backup copy of unit 01 $090D,BACKUP,0,090D,00,,27971,7E0,7E8,,,,,,,96,{}
639117829182077469,2026-04-14T17:01:58.207744,WVWZZZ6RZCY230414,Backup copy of unit 17 $224A,BACKUP,0,224A,0000,,20103,714,77E,,,,,,,96,{}
639117829166146935,2026-04-14T17:01:56.614696,WVWZZZ6RZCY230414,Backup copy of unit 17 $2234,BACKUP,0,2234,64,,20103,714,77E,,,,,,,96,{}
639117829190583261,2026-04-14T17:01:59.058328,WVWZZZ6RZCY230414,Backup copy of unit 17 $22A0,BACKUP,0,22A0,0096,,20103,714,77E,,,,,,,96,{}
639117829162613426,2026-04-14T17:01:56.261344,WVWZZZ6RZCY230414,Backup copy of unit 17 $2232,BACKUP,0,2232,00,,20103,714,77E,,,,,,,96,{}
639117829156921327,2026-04-14T17:01:55.692136,WVWZZZ6RZCY230414,Backup copy of unit 17 $0600,BACKUP,0,0600,140801,,20103,714,77E,,,,,,,96,{}
639117827591916930,2026-04-14T16:59:19.191696,WVWZZZ6RZCY230414,Backup copy of unit 01 $04FE,BACKUP,0,04FE,000000,,27971,7E0,7E8,,,,,,,96,{}
639117827582493601,2026-04-14T16:59:18.249360,WVWZZZ6RZCY230414,Backup copy of unit 01 $0904,BACKUP,0,0904,09C4,,27971,7E0,7E8,,,,,,,96,{}
639117829160141238,2026-04-14T17:01:56.014120,WVWZZZ6RZCY230414,Backup copy of unit 17 $2292,BACKUP,0,2292,0FFF,,20103,714,77E,,,,,,,96,{}
639117827571631537,2026-04-14T16:59:17.163152,WVWZZZ6RZCY230414,Backup copy of unit 01 $0600,BACKUP,0,0600,001100D6202400080000,,27971,7E0,7E8,,,,,,,96,{}
639117829192094169,2026-04-14T17:01:59.209416,WVWZZZ6RZCY230414,Backup copy of unit 17 $22A1,BACKUP,0,22A1,0174,,20103,714,77E,,,,,,,96,{}
639117829175522258,2026-04-14T17:01:57.552224,WVWZZZ6RZCY230414,Backup copy of unit 17 $2244,BACKUP,0,2244,0022,,20103,714,77E,,,,,,,96,{}
639117827595570509,2026-04-14T16:59:19.557048,WVWZZZ6RZCY230414,Backup copy of unit 01 $0937,BACKUP,0,0937,00,,27971,7E0,7E8,,,,,,,96,{}
