Car Scanner coding.bak extraction
VIN: WVWZZZ6RZCY230414
Total entries: 27

Unit 01 (10 entries)
DateTime             Address  Req  Resp Password ValueHex
2026-04-14 16:59:19 04FC     7E0  7E8  27971    000000
2026-04-14 16:59:19 04FE     7E0  7E8  27971    000000
2026-04-14 16:59:17 0600     7E0  7E8  27971    001100D6202400080000
2026-04-14 16:59:17 0902     7E0  7E8  27971    00
2026-04-14 16:59:18 0903     7E0  7E8  27971    09C4
2026-04-14 16:59:18 0904     7E0  7E8  27971    09C4
2026-04-14 16:59:18 090D     7E0  7E8  27971    00
2026-04-14 16:59:18 090E     7E0  7E8  27971    0000
2026-04-14 16:59:19 0927     7E0  7E8  27971    00
2026-04-14 16:59:19 0937     7E0  7E8  27971    00

Unit 17 (17 entries)
DateTime             Address  Req  Resp Password ValueHex
2026-04-14 17:01:55 0600     714  77E  20103    140801
2026-04-14 17:01:59 0919     714  77E  20103    03
2026-04-14 17:01:55 2203     714  77E  20103    48C2
2026-04-14 17:01:56 2232     714  77E  20103    00
2026-04-14 17:01:56 2233     714  77E  20103    01
2026-04-14 17:01:56 2234     714  77E  20103    64
2026-04-14 17:01:56 2238     714  77E  20103    11
2026-04-14 17:01:56 2239     714  77E  20103    02
2026-04-14 17:01:57 2243     714  77E  20103    000D
2026-04-14 17:01:57 2244     714  77E  20103    0022
2026-04-14 17:01:58 2248     714  77E  20103    01
2026-04-14 17:01:58 224A     714  77E  20103    0000
2026-04-14 17:01:58 224B     714  77E  20103    001F
2026-04-14 17:01:59 228A     714  77E  20103    0008
2026-04-14 17:01:56 2292     714  77E  20103    0FFF
2026-04-14 17:01:59 22A0     714  77E  20103    0096
2026-04-14 17:01:59 22A1     714  77E  20103    0174
